series,nominal_cagr,cash_excess_sharpe,max_drawdown
strategy_net_shv,0.01404992867,-0.1549008935,-0.09830543263
strategy_gross_shv,0.03167729852,0.1405276029,-0.08598560609
cash_proxy,0.02501597196,,-0.00450443031
exposure_matched_spy,0.06615537015,0.7063585088,-0.08302802505
exposure_matched_equal_weight,0.06744125425,0.7984966498,-0.04642007082
target_exposure_matched_equal_weight_net,0.05724403408,0.6156461714,-0.0493731862
constant_exposure_passive_diagnostic,0.06450257523,0.8099565357,-0.08887087879
strategy_net_zero_cash,-0.001702871473,0.0001174964476,-0.1515035057
