all_in_cost_bps,net_cagr,gross_cagr,net_cash_excess_sharpe,gross_cash_excess_sharpe,annualized_volatility,max_drawdown,annualized_one_way_turnover,sum_cost_fractions,mean_gross_exposure,fully_cash_fraction
0,0.03255872444,0.03255872444,0.145300998,0.145300998,0.06528326321,-0.08607452178,10.84416723,0,0.347551825,0.4191944306
5,0.02509239957,0.03255872444,0.03386293242,0.145300998,0.06530016571,-0.08858571579,10.84416723,0.05791017797,0.347551825,0.4191944306
13,0.01325237205,0.03255872444,-0.1441502243,0.145300998,0.0654117108,-0.10330715,10.84416723,0.1505664627,0.347551825,0.4191944306
25,-0.00426547108,0.03255872444,-0.4088604327,0.145300998,0.06577278668,-0.1617355853,10.84416723,0.2895508898,0.347551825,0.4191944306
50,-0.03984547607,0.03255872444,-0.9408745413,0.145300998,0.06725334319,-0.3419021555,10.84416723,0.5791017797,0.347551825,0.4191944306
