panel,strategy,switch,observations,family_size,block_length,replications,seed,annualized_mean_difference,annualized_mean_ci_95_lower,annualized_mean_ci_95_upper,sharpe_difference,sharpe_ci_95_lower,sharpe_ci_95_upper
us_sector_etfs,cross_sectional_momentum,vectorized_minus_event,2011,1,5,5000,20260618,0.00191438298586,0.000288702098797,0.00351035802578,0.00825860032169,0.000156395580603,0.016023339347
us_sector_etfs,cross_sectional_momentum,vectorized_minus_event,2011,1,63,5000,20260618,0.00191438298586,0.000500047927451,0.00330226551551,0.00825860032169,0.00108264829382,0.014872914778
us_sector_etfs,short_term_reversal,same_close_minus_baseline,2011,1,21,5000,20260618,-0.0747219727301,-0.104026172989,-0.046047694018,-0.383846555262,-0.621491722624,-0.219309603397
us_sector_etfs,short_term_reversal,same_close_minus_baseline,2011,1,5,5000,20260618,-0.0747219727301,-0.106039995471,-0.0438013075931,-0.383846555262,-0.582387121817,-0.218486951673
us_sector_etfs,short_term_reversal,same_close_minus_baseline,2011,1,63,5000,20260618,-0.0747219727301,-0.105758377789,-0.0448723110273,-0.383846555262,-0.670559403683,-0.201416368199
us_sector_etfs,short_term_reversal,zero_cash_minus_baseline,2011,1,21,5000,20260618,-0.00574201597429,-0.0079845386489,-0.00377211421343,-0.0295185705275,-0.0488447427522,-0.0173606053494
us_sector_etfs,short_term_reversal,zero_cash_minus_baseline,2011,1,5,5000,20260618,-0.00574201597429,-0.00703812903654,-0.00447407422047,-0.0295185705275,-0.0399796971779,-0.0216408478568
us_sector_etfs,short_term_reversal,zero_cash_minus_baseline,2011,1,63,5000,20260618,-0.00574201597429,-0.00854263137673,-0.00321567050073,-0.0295185705275,-0.055188256302,-0.0147612214649
us_sector_etfs,short_term_reversal,zero_cost_minus_baseline,2011,1,21,5000,20260618,0.0179952528319,0.0162664561572,0.019795963758,0.0917994265257,0.0697734577077,0.1259333981
us_sector_etfs,short_term_reversal,zero_cost_minus_baseline,2011,1,5,5000,20260618,0.0179952528319,0.0145514078095,0.0216758635962,0.0917994265257,0.070528928744,0.120473943084
us_sector_etfs,short_term_reversal,zero_cost_minus_baseline,2011,1,63,5000,20260618,0.0179952528319,0.0163336120537,0.0196572328324,0.0917994265257,0.0678670259177,0.130737197907
us_sector_etfs,short_term_reversal,strategy_minus_costed_comparator,2011,1,21,5000,20260618,-0.00987611689354,-0.0632795752803,0.039854691658,-0.135003923685,-0.395155205482,0.116510791813
