panel,strategy,seed,variant,observations,annualized_arithmetic_return,cash_excess_sharpe,cagr,total_return,max_drawdown,annualized_volatility,annualized_one_way_turnover,annualized_gross_traded_notional,arithmetic_cost_drag,mean_risky_exposure
us_sector_etfs,ts_momentum,deterministic,baseline,2011,0.114431486483,0.493775808201,0.102851763783,1.18420573268,-0.341585504759,0.181474648619,2.25960752924,4.38852457093,0.0456231604509,0.999005469915
us_sector_etfs,ts_momentum,deterministic,same_close,2011,0.120240960597,0.52590895434,0.109285324436,1.28798105323,-0.341558614345,0.181422168291,2.1339314849,4.26232195126,0.0441872006013,1
us_sector_etfs,ts_momentum,deterministic,zero_cash,2011,0.114442901738,0.493838686597,0.102864353761,1.18440472221,-0.341585504759,0.181474617173,2.25960752924,4.38852457093,0.0456231604509,0.999005469915
us_sector_etfs,ts_momentum,deterministic,zero_cost,2011,0.120148560792,0.525125529698,0.109164772653,1.2859975651,-0.341567442062,0.181515027177,2.25793870958,4.3905666285,1.11022302463e-15,0.999005469915
us_sector_etfs,ts_momentum,deterministic,costed_comparator,2011,0.125894343507,0.547788307593,0.114912904345,1.38226580479,-0.367244611855,0.184512699534,0.283623304862,0.441687011013,0.00458887331259,0.999005469915
us_sector_etfs,ts_momentum,deterministic,vectorized,2011,0.115859038775,0.500129209537,0.10431807389,1.20748823578,-0.341734780699,0.182019380685,2.22217802089,4.31904525112,0.0449055575942,0.999005469915
us_sector_etfs,cross_sectional_momentum,deterministic,baseline,2011,0.141938223631,0.59570698571,0.130377267384,1.65907936456,-0.320576872001,0.196609316398,2.69492292158,5.25802500505,0.0546149368202,0.999005469915
us_sector_etfs,cross_sectional_momentum,deterministic,same_close,2011,0.13714696614,0.5719957102,0.125027072915,1.56028699333,-0.315069394928,0.196388161718,2.56101306738,5.11537614577,0.0529717271989,1
us_sector_etfs,cross_sectional_momentum,deterministic,zero_cash,2011,0.141949638885,0.595765068842,0.130390171589,1.6593216169,-0.320576872001,0.196609281032,2.69492292158,5.25802500505,0.0546149368202,0.999005469915
us_sector_etfs,cross_sectional_momentum,deterministic,zero_cost,2011,0.148782064545,0.63045600788,0.13813449914,1.80823695979,-0.319983960716,0.196618818006,2.69302548234,5.26074017403,-3.33066907388e-16,0.999005469915
us_sector_etfs,cross_sectional_momentum,deterministic,costed_comparator,2011,0.125894343507,0.547788307593,0.114912904345,1.38226580479,-0.367244611855,0.184512699534,0.283623304862,0.441687011013,0.00458887331259,0.999005469915
us_sector_etfs,cross_sectional_momentum,deterministic,vectorized,2011,0.143852606617,0.603965586032,0.132438259252,1.69801618846,-0.320537520264,0.197086800449,2.58975634013,5.05420188961,0.0525026112164,0.999005469915
us_sector_etfs,short_term_reversal,deterministic,baseline,2011,0.110173402373,0.43884135042,0.0954134900584,1.06937596379,-0.450787916028,0.194538299543,8.99246547734,13.79175979,0.143604973988,0.777337165964
us_sector_etfs,short_term_reversal,deterministic,same_close,2011,0.0354514296434,0.0549947951577,0.0164630131649,0.139178909741,-0.447727724439,0.195023025891,8.86005417733,13.6503447911,0.141415583353,0.776945176622
us_sector_etfs,short_term_reversal,deterministic,zero_cash,2011,0.104431386399,0.409322779892,0.0891426950711,0.976707703313,-0.450787916028,0.194545296834,8.99241462283,13.7921341503,0.14360586948,0.777370884203
us_sector_etfs,short_term_reversal,deterministic,zero_cost,2011,0.128168655205,0.530640776945,0.115248651661,1.38799679725,-0.450294158699,0.194761801746,8.99542386955,13.8053970107,-1.33226762955e-15,0.777337165964
us_sector_etfs,short_term_reversal,deterministic,costed_comparator,2011,0.120049519267,0.573845274105,0.112049248517,1.33387186456,-0.367244611855,0.165908113355,4.25483054101,4.32910146463,0.0449540902905,0.777565735719
us_sector_etfs,short_term_reversal,deterministic,vectorized,2011,0.111411915341,0.442572808931,0.0965180458682,1.08608645684,-0.45292557355,0.195692853405,8.9388363998,13.7006464446,0.14266072121,0.777722526106
us_sector_etfs,learned_gbrt,11,baseline,2011,0.139658073418,0.544593089625,0.124499436922,1.55072032249,-0.390424564646,0.210866272798,6.32488513353,12.2589337315,0.127468461213,0.98810907632
us_sector_etfs,learned_gbrt,11,same_close,2011,0.117534458972,0.438307568767,0.0997377417236,1.13547164687,-0.396329072723,0.211560362311,6.19965992443,12.1330939241,0.125660799463,0.989128560093
us_sector_etfs,learned_gbrt,11,zero_cash,2011,0.139498917298,0.543838971875,0.12432065203,1.54748583877,-0.390424564646,0.21086597981,6.32482945145,12.2588789514,0.127467759094,0.988110904087
us_sector_etfs,learned_gbrt,11,zero_cost,2011,0.155631247075,0.620046184969,0.14257861322,1.89694461252,-0.38936659186,0.210944141949,6.32297736697,12.2701935076,3.33066907388e-16,0.98810907632
us_sector_etfs,learned_gbrt,11,costed_comparator,2011,0.126187411953,0.551968359322,0.115418162602,1.3908948193,-0.367244611855,0.183645775194,0.529136427368,0.682193658159,0.00708772001098,0.988129195395
us_sector_etfs,learned_gbrt,11,vectorized,2011,0.141212132355,0.547949448187,0.125873,1.57569016113,-0.39527976169,0.212404441946,6.22376926902,12.0716061661,0.125523794653,0.988065638986
us_sector_etfs,learned_gbrt,29,baseline,2011,0.138245403225,0.526574878216,0.121819170047,1.50260509299,-0.404401418236,0.215419861991,6.31689408721,12.1597759,0.126428770173,0.984596108311
us_sector_etfs,learned_gbrt,29,same_close,2011,0.118060656713,0.431778910373,0.0992689227926,1.12821768506,-0.410316961044,0.215991091816,6.19110196478,12.0328605711,0.124598926961,0.985610379512
us_sector_etfs,learned_gbrt,29,zero_cash,2011,0.138003356852,0.525448118665,0.121547514882,1.49777303714,-0.404401418236,0.215421124159,6.31683833348,12.1597762344,0.126428509411,0.984599917242
us_sector_etfs,learned_gbrt,29,zero_cost,2011,0.154088292377,0.599864460732,0.139708581093,1.83938107882,-0.403367703532,0.215489976486,6.31526836657,12.1708747656,1.11022302463e-16,0.984596108311
us_sector_etfs,learned_gbrt,29,costed_comparator,2011,0.125725869864,0.549653467337,0.114917051652,1.38233652324,-0.367244611855,0.183580719327,0.609863793609,0.760364348043,0.00789753891187,0.984674282502
us_sector_etfs,learned_gbrt,29,vectorized,2011,0.139112680261,0.526999042062,0.122427298904,1.51345181174,-0.409072160107,0.216887888597,6.22376926902,11.988065639,0.124648716668,0.98458478369
us_sector_etfs,learned_gbrt,47,baseline,2011,0.129148953492,0.501019435313,0.113345737502,1.35567409736,-0.39885625795,0.20825920055,6.52700302657,12.6617536682,0.131646029271,0.988169156328
us_sector_etfs,learned_gbrt,47,same_close,2011,0.102330160024,0.371308580607,0.0837573905531,0.90004322149,-0.400440554477,0.208842711248,6.39821839638,12.5297200958,0.129772093427,0.989187235525
us_sector_etfs,learned_gbrt,47,zero_cash,2011,0.128909429356,0.499867282675,0.113079029565,1.35117454254,-0.39885625795,0.208260064474,6.52694812565,12.6617539534,0.131645795082,0.988173027259
us_sector_etfs,learned_gbrt,47,zero_cost,2011,0.145645621506,0.579949049958,0.131838763529,1.68663925177,-0.397812919123,0.208336473955,6.52518708158,12.6732610812,1.11022302463e-16,0.988169156328
us_sector_etfs,learned_gbrt,47,costed_comparator,2011,0.126702991767,0.55286377682,0.115862125396,1.39849955663,-0.367244611855,0.184281027288,0.53031743692,0.68428537451,0.00710384491646,0.988269696823
us_sector_etfs,learned_gbrt,47,vectorized,2011,0.131521529366,0.508586185949,0.115619568661,1.39434213073,-0.403823529746,0.209817935242,6.43262058677,12.4893088016,0.129855864751,0.988231394
us_sector_etfs,learned_gbrt,71,baseline,2011,0.150885768846,0.599706774501,0.137338711615,1.79260587187,-0.405204247022,0.210209062482,6.85274959115,13.231436572,0.137589672589,0.984341490344
us_sector_etfs,learned_gbrt,71,same_close,2011,0.119953347279,0.451090576632,0.102536634675,1.17923015651,-0.405995400653,0.210943863193,6.72291304862,13.0962670368,0.135651458432,0.985353387013
us_sector_etfs,learned_gbrt,71,zero_cash,2011,0.15065508982,0.598611125387,0.137076688245,1.78747581468,-0.405204247022,0.210208446312,6.85269386737,13.2314298841,0.137589380776,0.984345387254
us_sector_etfs,learned_gbrt,71,zero_cost,2011,0.168127239504,0.68139787577,0.157088580397,2.20387516199,-0.404659993212,0.210289986428,6.85112303747,13.243887661,-1.66533453694e-15,0.984341490344
us_sector_etfs,learned_gbrt,71,costed_comparator,2011,0.125321273255,0.547520436423,0.114471107919,1.37474295415,-0.367244611855,0.183556864853,0.610126685282,0.761155593883,0.00790860080359,0.984339082811
us_sector_etfs,learned_gbrt,71,vectorized,2011,0.152698531896,0.603915250918,0.139025493752,1.825828894,-0.410143250765,0.211739882122,6.76678269518,13.0740924913,0.135960049498,0.984253273662
us_sector_etfs,learned_gbrt,97,baseline,2011,0.125268127708,0.472303907697,0.107991883533,1.26677790068,-0.399112028379,0.212724210968,6.6035896275,12.8978888386,0.134029087112,0.991682124337
us_sector_etfs,learned_gbrt,97,same_close,2011,0.0998556230429,0.352011147052,0.0800702670139,0.849065752525,-0.404590617661,0.213268377556,6.47802277793,12.7722253934,0.132357461394,0.992705416106
us_sector_etfs,learned_gbrt,97,zero_cash,2011,0.125111493826,0.471569181791,0.107818604841,1.26395046947,-0.399112028379,0.212723486692,6.60353479822,12.8978340093,0.134028411567,0.991684014104
us_sector_etfs,learned_gbrt,97,zero_cost,2011,0.142063418585,0.551107035104,0.126742623871,1.59160924844,-0.398069133465,0.212758212044,6.60169812173,12.9101839027,-7.77156117238e-16,0.991682124337
us_sector_etfs,learned_gbrt,97,costed_comparator,2011,0.127164533855,0.555169522515,0.116363661119,1.40711591671,-0.367244611855,0.184345826304,0.449590070679,0.606114684627,0.00629402601556,0.991724609717
us_sector_etfs,learned_gbrt,97,vectorized,2011,0.126320020918,0.474021614634,0.10880730617,1.28012486128,-0.403644124087,0.214167741877,6.51616111387,12.7399303829,0.132390043918,0.991712249296
country_equity_etfs,ts_momentum,deterministic,baseline,2011,0.0218219607389,-0.0179402804522,0.0087810501862,0.0722597111498,-0.40452457504,0.1609767922,3.00974169007,4.88761091148,0.0508788320726,0.886126305321
country_equity_etfs,ts_momentum,deterministic,same_close,2011,0.031828630628,0.0444572049397,0.0191101568132,0.163070182458,-0.408038668315,0.159872844648,2.88231502772,4.75791160149,0.049180725028,0.887120835405
