panel,strategy,variant,family_size,observations,annualized_arithmetic_return,cash_excess_sharpe,cagr,total_return,max_drawdown,annualized_volatility,annualized_one_way_turnover,annualized_gross_traded_notional,arithmetic_cost_drag,mean_risky_exposure
country_equity_etfs,cross_sectional_momentum,baseline,1,2011,0.0884315662018,0.329325683402,0.0720886943175,0.742793428829,-0.407258984168,0.193325454503,2.66697868899,5.20220910055,0.0539540944161,0.999005469915
country_equity_etfs,cross_sectional_momentum,costed_comparator,1,2011,0.0827976014027,0.325169158514,0.0690183895672,0.703359458263,-0.3635717287,0.178500716815,0.239318382399,0.35319220933,0.00366961652371,0.999005469915
country_equity_etfs,cross_sectional_momentum,same_close,1,2011,0.0853606050434,0.312765564083,0.0687146767288,0.699501431662,-0.415000317458,0.193738430692,2.52873208199,5.05089799658,0.0522815198484,1
country_equity_etfs,cross_sectional_momentum,vectorized,1,2011,0.0893221660464,0.333040343521,0.072939540501,0.753861729499,-0.407544080667,0.193841617988,2.58975634013,5.05420188961,0.0524138334348,0.999005469915
country_equity_etfs,cross_sectional_momentum,zero_cash,1,2011,0.0884429814558,0.32938470359,0.0721009331097,0.742952204001,-0.407258984168,0.193325431079,2.66697868899,5.20220910055,0.0539540944161,0.999005469915
country_equity_etfs,cross_sectional_momentum,zero_cost,1,2011,0.0951925964319,0.364340979363,0.0793674787275,0.839486088313,-0.395108174469,0.193288513677,2.66488725743,5.20446372421,-3.33066907388e-16,0.999005469915
country_equity_etfs,learned_gbrt,baseline,5,2011,0.0783837005643,0.311928221965,0.0656329272651,0.662880195882,-0.335591876018,0.172017437081,7.41253018269,13.0917501319,0.136175001451,0.892616154536
country_equity_etfs,learned_gbrt,costed_comparator,5,2011,0.0558516852328,0.180521709938,0.0417331658303,0.38624637318,-0.419012968025,0.172340366059,1.80680932845,1.89263638067,0.019670737918,0.892712138533
country_equity_etfs,learned_gbrt,same_close,5,2011,0.0659718837648,0.239962898053,0.0525149260147,0.505699773422,-0.334338176495,0.171825850333,7.28372803712,12.9587503274,0.134082969224,0.893665749942
country_equity_etfs,learned_gbrt,vectorized,5,2011,0.0786294040815,0.313208967319,0.0658770669322,0.665731994681,-0.336610700454,0.17210393933,7.35992043759,12.9905519642,0.135120973392,0.892259240842
country_equity_etfs,learned_gbrt,zero_cash,5,2011,0.0746052727451,0.289947975125,0.061615378002,0.613570500196,-0.339647615422,0.172021194314,7.41228186642,13.0919358185,0.136176032437,0.892655454471
country_equity_etfs,learned_gbrt,zero_cost,5,2011,0.095447897663,0.410746200818,0.0839373725571,0.90461357462,-0.309675415594,0.172170997364,7.41256095813,13.1042040621,-7.54951656745e-16,0.892616154536
country_equity_etfs,short_term_reversal,baseline,1,2011,0.0603237363886,0.19668911285,0.0447767104604,0.418438184436,-0.439116951436,0.180905793558,9.63307385663,13.9072779796,0.144671878492,0.708809521781
country_equity_etfs,short_term_reversal,costed_comparator,1,2011,0.0717365583901,0.297324912935,0.0609171053424,0.603031515857,-0.352248328384,0.158001721302,5.40055981709,5.44539008332,0.0565591309166,0.709024185492
country_equity_etfs,short_term_reversal,same_close,1,2011,-0.00915713805989,-0.186454202382,-0.0254542259236,-0.185970547426,-0.521677545831,0.181463987383,9.62887497888,13.8992336382,0.143856432396,0.709146772481
country_equity_etfs,short_term_reversal,vectorized,1,2011,0.0610042724378,0.200333660212,0.0454718324348,0.425986813787,-0.437080528557,0.181008772412,9.60716061661,13.8677274988,0.144259337554,0.708934195259
